"UNIVERSITY OF TECHNOLOGY, MAURITIUS",,,,,,,,,,,,,,,,,,,,,
SCHOOL OF INNOVATIVE TECHNOLOGIES AND ENGINEERING,,,,,,,,,,,,,,,,,,,,,
Academic Year 2025 Semester 2 and Academic Year 2025/2026 Semester 1,,,,,,,,,,,,,,,,,,,,,
Semester start date: 21 October 2025,,,,,,,,,,,,,,,,,,,,,
Last date for submission of Exemption: 10 November 2025,,,,,,,,,,,,,,,,,,,,,
Semester tentative end date/s: 01 February 2026 (Tentative) (week 12) & 22 February 2026 (week 15),,,,,,,,,,,,,,,,,,,,,
"Classes are conducted at BPML Building, La Tour Koenig and Practicals in Laboraties on UTM Campus",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Lecture / Practicals,,
Dept,Programme,Programme Document Version,"Level Sem
e.g L1S2",Cohort,Semester Duration (15 / 12 Weeks),No. of Students,"Head Of Dept
SURNAME Name (Title)","Programme Director
SURNAME Name (Title)",PROGRAMME COORDINATOR,Module Code,Module Title,L + T/P,No. of Credits,Weightage,"Resource Person
SURNAME Name (Title)",FT/PT,"Face to Face
(Odd / Even Weeks?) ","Online Sessions
(Odd / Even Weeks?) ",Day,Time ,Venue
AMS,BSc (Hons) Mathematics,v4.0,L3S2,BM/23A/FT,15 Weeks,6,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),SUNHALOO Sameer (AP - Dr),STAT 3336C,Applied Multivariate Statistics,3,6,40:60,SUNHALOO Sameer Assoc Prof (Dr),FT,Full F2F,N/A,Monday,09:00 - 12:00,Lab G1.1
AMS,BSc (Hons) Mathematics,v4.0,L3S2,BM/23A/FT,15 Weeks,6,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),SUNHALOO Sameer (AP - Dr),PROJ 3110C,Project,-,12,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMS,BSc (Hons) Mathematics,v4.0,L3S2,BM/23A/FT,15 Weeks,6,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),SUNHALOO Sameer (AP - Dr),QFIN 3201C,Financial Option Valuation,3,6,40:60,SUNHALOO Sameer Assoc Prof (Dr),FT,Full F2F,N/A,Friday,09:00 - 12:00,Lab G1.1
AMS,BSc (Hons) Mathematics,v4.0,L3S2,BM/23A/FT,15 Weeks,6,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),SUNHALOO Sameer (AP - Dr),MATH 3321C,Fluid Dynamics,3,6,30:70,PEER Arshad (Dr),FT,Full F2F,N/A,Tuesday,08:00 - 11:00,BPML 0.08
AMS,BSc (Hons) Mathematics,v4.0,L3S2,BM/23A/FT,15 Weeks,6,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),SUNHALOO Sameer (AP - Dr),STAT 3301C,Probability Models,3,6,30:70,DOOKHITRAM Kumar (Dr),FT,Odd,Even,Wednesday,11:00 - 14:00,BPML 0.02A
AMS,BSc (Hons) Mathematics,v4.0,L2S2,BM/24A/FT,15 Weeks,11,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr), PEER Arshad (Dr),MATH 2213C,Metric Spaces,3,6,30:70,DOOKHITRAM Kumar (Dr),FT,Odd,Even,Friday,11:00 - 14:00,BPML 0.11
AMS,BSc (Hons) Mathematics,v4.0,L2S2,BM/24A/FT,15 Weeks,11,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr), PEER Arshad (Dr),MATH 2318C,Matrix Computations,3,6,40:60,SUNHALOO Sameer Assoc Prof (Dr),FT,Full F2F,N/A,Tuesday,09:00 - 12:00,Lab G1.1
AMS,BSc (Hons) Mathematics,v4.0,L2S2,BM/24A/FT,15 Weeks,11,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr), PEER Arshad (Dr),STAT 2212C,Linear Statistical Models,3,6,40:60,SAIB Aslam (Dr),FT,Even,Odd,Wednesday,08:00 - 11:00,Lab G1.1
AMS,BSc (Hons) Mathematics,v4.0,L2S2,BM/24A/FT,15 Weeks,11,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr), PEER Arshad (Dr),MATH 2319C,Numerical Methods for ODEs,3,6,40:60,PEER Arshad (Dr),FT,Full F2F,N/A,Thursday ,09:00 - 12:00,Lab G1.1
AMS,BSc (Hons) Mathematics,v4.0,L2S2,BM/24A/FT,15 Weeks,11,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr), PEER Arshad (Dr),PROJ 2119C,Work Placement,-,6,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMS,BSc (Hons) Mathematics,v4.1,L1S2,BM/25A/FT,12 Weeks,14,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),BHATOO-RAMKISSOON Omishwary (Dr),MATH 1333C,Calculus and Matrix Algebra II,3,6,30:70,SUNHALOO Sameer Assoc Prof (Dr),FT,Full F2F,N/A,Wednesday,09:00 - 12:00,Lab G1.5
